data,SVHN,SVHN,SVHN,SVHN,SVHN,SVHN,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,CIFAR100,CIFAR100,TINY,TINY,TINY,TINY,TINY,TINY
mismath-ratio,0.3,0.6,0.3,0.6,0.6,0.6,0.3,0.6,0.3,0.6,0.6,0.6,0.3,0.6,0.3,0.6,0.6,0.6,0.3,0.6,0.3,0.6,0.6,0.6
metric,ACCURACY,ACCURACY,ECE,ECE,F1-OOD,ECE-OOD,ACCURACY,ACCURACY,ECE,ECE,F1-OOD,ECE-OOD,ACCURACY,ACCURACY,ECE,ECE,F1-OOD,ECE-OOD,ACCURACY,ACCURACY,ECE,ECE,F1-OOD,ECE-OOD
algs,,,,,,,,,,,,,,,,,,,,,,,,
Ablation1,,0.031,,0.031,0.781,0.5,,0.062,,0.031,1.0,0.062,,0.031,,0.031,0.969,0.031,,0.031,,0.031,0.031,1.0
Ablation2,,0.031,,0.156,0.031,0.031,,0.5,,0.156,0.031,0.031,,0.062,,0.219,1.0,0.031,,0.406,,0.031,0.031,0.031
FIXMATCH,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,
IOMATCH,0.031,0.031,0.031,0.031,0.031,,0.031,0.062,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.094,0.062,0.031,0.031,0.062,
MTC,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,1.0,1.0,0.031,
OPENMATCH,0.219,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.5,0.031,0.031,0.062,0.031,0.031,0.969,0.031,0.312,0.156,0.031,0.031,0.034,0.031
SAFESTUDENT,0.031,0.031,0.062,0.031,0.031,,0.031,0.031,0.031,0.031,0.031,,0.031,0.031,0.031,0.031,0.906,,0.031,0.031,0.031,0.031,0.031,
SUPERVISED,0.031,0.031,0.031,0.031,,,0.031,0.031,0.031,0.031,,,0.031,0.031,0.031,0.031,,,0.031,0.031,0.031,0.031,,
